Trial,letras,pregunta,posicion,respuesta,tiempo
1,"['B', 'K', 'Q', 'J', 'R', 'F', 'L']",F,6,1,1.3473907999577932
2,"['Y', 'V', 'K', 'P', 'H', 'X', 'B']",T,5,2,1.6141904999967664
3,"['P', 'D', 'T', 'W', 'Y', 'B', 'F']",W,4,1,2.182678399956785
4,"['W', 'X', 'H', 'K', 'M', 'J', 'L']",X,2,1,4.117682799987961
5,"['P', 'K', 'V', 'Q', 'Z', 'M', 'N']",N,7,1,1.547042699996382
6,"['Q', 'V', 'Y', 'S', 'H', 'Z', 'J']",S,4,1,1.1048898000153713
7,"['P', 'C', 'S', 'M', 'B', 'F', 'N']",B,5,0,5.0420141000067815
8,"['R', 'B', 'F', 'T', 'X', 'P', 'G']",G,7,1,1.9583701999508776
9,"['X', 'R', 'C', 'P', 'V', 'J', 'H']",X,1,1,1.602355599985458
10,"['V', 'J', 'W', 'T', 'M', 'N', 'P']",W,3,1,1.2535266999620944
11,"['W', 'S', 'Y', 'V', 'M', 'H', 'K']",Q,5,2,2.3969572000205517
12,"['Q', 'Y', 'N', 'L', 'F', 'R', 'D']",F,5,1,2.8733864999958314
13,"['G', 'B', 'D', 'L', 'X', 'V', 'Y']",V,6,1,1.2009488000185229
14,"['R', 'Z', 'Q', 'V', 'G', 'F', 'B']",H,5,2,1.2330015000188723
15,"['P', 'T', 'H', 'Q', 'M', 'S', 'G']",P,1,1,1.4967783999745734
16,"['C', 'H', 'B', 'L', 'W', 'M', 'Y']",Y,7,1,1.8669585000025108
17,"['Y', 'Q', 'G', 'H', 'N', 'W', 'X']",Y,1,1,0.9924789000069723
18,"['C', 'J', 'Y', 'N', 'V', 'B', 'X']",B,6,0,3.2802614000393078
19,"['N', 'Q', 'R', 'B', 'H', 'F', 'X']",V,5,2,3.2483925000415184
20,"['K', 'R', 'M', 'V', 'S', 'Y', 'Z']",F,5,2,2.6634308000211604
21,"['M', 'W', 'J', 'Z', 'F', 'T', 'K']",W,2,1,3.9294393999734893
22,"['C', 'S', 'D', 'Y', 'P', 'Z', 'H']",B,5,2,2.2072579999803565
23,"['G', 'N', 'F', 'C', 'S', 'M', 'W']",F,3,0,2.228329000005033
24,"['R', 'P', 'B', 'H', 'S', 'K', 'W']",S,5,0,3.2995362000074238
25,"['X', 'B', 'L', 'Z', 'H', 'W', 'J']",Z,4,0,1.7907512999954633
26,"['P', 'W', 'C', 'G', 'Q', 'N', 'H']",J,5,2,4.768907199962996
27,"['K', 'N', 'M', 'T', 'L', 'X', 'G']",Y,5,2,2.9364241999574006
28,"['H', 'R', 'S', 'X', 'N', 'K', 'P']",S,3,0,6.587521800014656
29,"['K', 'C', 'B', 'N', 'G', 'D', 'F']",P,5,2,3.962450799997896
30,"['V', 'P', 'J', 'L', 'R', 'W', 'D']",P,2,1,1.4194929000223055
