Serie 13-letras,Letra-pregunta,Posición,Respuesta,RT
"['S', 'H', 'J', 'F', 'Q', 'K', 'Z', 'T', 'B', 'V', 'N', 'Y', 'W']",G,12,3,3.338332200073637
"['R', 'C', 'T', 'Z', 'F', 'X', 'N', 'Y', 'K', 'P', 'M', 'H', 'B']",N,7,0,1.208628199994564
"['N', 'F', 'Z', 'H', 'S', 'P', 'Y', 'C', 'V', 'J', 'D', 'Q', 'B']",J,10,1,1.164027100079693
"['M', 'Y', 'F', 'H', 'S', 'X', 'N', 'C', 'D', 'P', 'V', 'T', 'L']",S,5,0,1.6397419000277296
"['Z', 'P', 'Q', 'K', 'F', 'H', 'T', 'R', 'G', 'C', 'S', 'W', 'J']",D,12,2,1.4195857000304386
"['N', 'V', 'Q', 'D', 'X', 'F', 'Z', 'J', 'P', 'Y', 'T', 'M', 'G']",G,13,1,1.611705599934794
"['Q', 'D', 'B', 'X', 'R', 'W', 'S', 'M', 'P', 'H', 'L', 'F', 'Z']",C,12,2,2.027538900030777
"['S', 'W', 'F', 'Y', 'Q', 'K', 'L', 'D', 'T', 'H', 'P', 'B', 'Z']",T,9,0,1.0934833999490365
"['X', 'Y', 'F', 'J', 'Q', 'C', 'V', 'G', 'K', 'S', 'D', 'P', 'M']",H,12,2,1.696468099951744
"['L', 'P', 'J', 'V', 'D', 'G', 'K', 'X', 'T', 'N', 'S', 'H', 'W']",Z,12,2,0.8264979000668973
"['D', 'N', 'M', 'Q', 'R', 'P', 'K', 'G', 'Z', 'J', 'L', 'V', 'W']",T,12,2,1.236028700019233
"['F', 'T', 'X', 'H', 'L', 'K', 'C', 'J', 'V', 'Y', 'G', 'N', 'M']",L,5,1,1.0263745000120252
"['Z', 'N', 'H', 'L', 'R', 'J', 'D', 'K', 'V', 'X', 'C', 'Q', 'P']",Q,12,1,3.0016962999943644
"['W', 'R', 'X', 'Q', 'F', 'D', 'C', 'B', 'G', 'H', 'N', 'J', 'Z']",B,8,0,0.8992166999960318
"['T', 'C', 'K', 'M', 'V', 'B', 'Y', 'J', 'Q', 'F', 'D', 'L', 'H']",J,8,1,1.7396706000436097
"['J', 'Y', 'K', 'P', 'L', 'Z', 'C', 'G', 'M', 'Q', 'D', 'H', 'S']",P,4,0,1.4943223999580368
"['R', 'J', 'M', 'Y', 'B', 'H', 'N', 'P', 'Z', 'D', 'C', 'F', 'L']",R,1,0,1.133787399972789
"['Y', 'F', 'P', 'Z', 'B', 'S', 'H', 'G', 'K', 'M', 'N', 'J', 'D']",S,6,1,1.1798188999528065
"['V', 'T', 'D', 'R', 'B', 'C', 'G', 'Q', 'Z', 'F', 'N', 'H', 'P']",T,2,1,1.4607129999203607
"['C', 'H', 'J', 'L', 'N', 'K', 'Q', 'Y', 'W', 'G', 'P', 'S', 'R']",S,12,1,1.3597174999304116
"['M', 'J', 'V', 'C', 'L', 'N', 'F', 'K', 'Z', 'T', 'G', 'S', 'X']",T,10,0,1.0264937999891117
"['R', 'Q', 'S', 'C', 'T', 'M', 'Y', 'B', 'Z', 'N', 'H', 'P', 'J']",Z,9,1,1.2526027000276372
"['W', 'P', 'B', 'H', 'M', 'J', 'Q', 'N', 'L', 'V', 'K', 'C', 'Z']",Q,7,0,1.3885012000100687
"['J', 'K', 'W', 'P', 'S', 'F', 'C', 'V', 'R', 'N', 'Y', 'T', 'H']",H,13,1,0.860056999954395
"['X', 'W', 'C', 'Q', 'V', 'K', 'B', 'J', 'R', 'Z', 'F', 'M', 'G']",F,11,0,0.8187850000103936
"['G', 'D', 'J', 'M', 'H', 'B', 'K', 'L', 'X', 'N', 'R', 'P', 'Z']",G,1,0,1.5588118999730796
"['Q', 'S', 'L', 'D', 'R', 'V', 'T', 'N', 'J', 'M', 'F', 'W', 'H']",S,2,0,1.0308003999525681
"['L', 'G', 'Q', 'W', 'N', 'T', 'F', 'R', 'Y', 'P', 'Z', 'M', 'K']",H,12,3,1.7998634000541642
"['J', 'C', 'V', 'K', 'W', 'L', 'Y', 'X', 'F', 'D', 'M', 'T', 'Z']",M,11,1,1.208845599903725
"['D', 'B', 'Z', 'X', 'G', 'C', 'J', 'T', 'Y', 'M', 'L', 'R', 'P']",Z,3,0,0.9807125999359414
"['G', 'H', 'L', 'S', 'T', 'Z', 'J', 'D', 'P', 'B', 'M', 'Q', 'K']",L,3,1,0.7861010000342503
"['F', 'K', 'L', 'C', 'P', 'Q', 'W', 'H', 'R', 'V', 'J', 'Y', 'T']",X,12,2,1.0389723000116646
"['T', 'Z', 'G', 'S', 'D', 'Q', 'W', 'L', 'B', 'P', 'V', 'N', 'Y']",K,12,2,1.0461142000276595
"['H', 'M', 'S', 'W', 'G', 'Y', 'L', 'D', 'B', 'Q', 'J', 'Z', 'C']",Y,6,1,0.8682941000442952
"['J', 'Y', 'F', 'R', 'N', 'P', 'Z', 'S', 'G', 'M', 'V', 'C', 'H']",R,4,0,0.8831880000652745
